username,userid,profile_location,created_at,text,retweet_count,source,coordinates
Will Baizer,298725759,"Austin, TX",2023-01-22 22:17:29,"I would like to point out that, as of today, Texas Tech is 0-7 in Big 12 play.",4,Twitter for iPhone,
Conservative Patriot,1600363387447296000,"Austin, Tx",2023-01-22 20:07:32,"@TockTick5167AD @POTUS Yet Dems pushed vaccine and mask mandates, school closures and lockdowns. Sounds like totali… https://t.co/4o8GWcpKF2",0,Twitter for iPhone,
Fehzan Ali ❎,256669854,"Austin, Texas",2023-01-22 19:18:43,"@pkedrosky Not a fan either, but it's obvious and been obvious there is a significant amount of over hiring in big tech.",0,Twitter Web App,
Middlebrow Elitist,1429183978578358283,"Austin, TX",2023-01-22 17:20:15,Big tech invents picture books https://t.co/FtXNX5gdg9,0,Twitter for iPhone,
Wetterschneider,559068947,"Austin, Texas",2023-01-22 16:53:50,"@gauravmunjal @amitgupta0310 Big orgs don't have to BE nimble - you should know this.

They just need the money to… https://t.co/uMvDHToSl7",2,TweetDeck,
Balaji V 🚢,14182044,"Austin, TX",2023-01-22 15:30:48,"Economy shifted, corporate priorities and pressures on management shifted, easy money was gone. In the world of big… https://t.co/22bh4hj9Is",0,Typeshare.co,
John Benavides,1534331746497576961,"Austin, TX",2023-01-22 14:34:12,"@BeyondUltra1 @libertycappy ….big tech, defense, real estate, and Hollywood… guess who’s job it is to keep them fro… https://t.co/aCs3MAaAQi",0,Twitter for iPhone,
Ron,1591508661385453568,"Austin, TX",2023-01-22 14:20:56,"@LauraLoomer One of the many reasons I and many, many others USE LESS BIG TECH (just recently returned to Twitter,… https://t.co/1mw87oe5ug",0,Twitter Web App,
Alex Bass (Efficient VC),93567446,"Austin, TX",2023-01-22 14:18:27,"@terronk @inklingcam @sveta_bay @ProductHunt To be fair, give me an engineer and a no-code Bubble expert and I'm wi… https://t.co/ev62d8Ri8w",0,Twitter for Android,
Austin Statesman,5692542,"Austin, Texas",2023-01-22 12:00:03,No. 25 Texas looks to rebound from upset loss at Texas Tech against now-unranked Baylor https://t.co/iluVLRLyL4,0,SocialNewsDesk,
Gilbert Martinez,75448777,"Austin,Tx",2023-01-22 02:37:52,"@MedStuBurner @vivathematadors While Tech claims a culture win, they remain winless in Big 12 up to this point.",0,Twitter for Android,
Arran James Stewart,473810209,"Austin, TX",2023-01-22 01:27:34,"As always it was a pleasure to join Scott Budman  at CNBC  to talk about the Google  layoffs.

Big tech is averagel… https://t.co/F7yOnCYigk",0,LinkedIn,
Arran James Stewart,473810209,"Austin, TX",2023-01-22 01:15:56,"As always it was a pleasure to join Scott Budman at CNBC to talk about the Google layoffs.

Big tech is averagely l… https://t.co/tkbcb00IJ4",0,LinkedIn,
KXAN News,15169032,"Austin, Texas",2023-01-22 01:15:07,"Even with some turmoil in the tech sector, the Austin metro's economy is growing. Is Austin insulated from these bi… https://t.co/ITcv0Oifbj",0,SocialFlow,
The Dirty Team,1486362551441100805,"Austin, Texas",2023-01-22 00:58:48,"Fast Company Grill is back for SXSW 2023, March 10-13 from 10:30am-6pm daily at The Cedar Door on 201 Brazos

RSVP:… https://t.co/Au9biH8cTs",3,Twitter for iPhone,
Barstool Longhorns,2414922230,"Austin, TX ",2023-01-22 00:13:40,"@OccupyLF Yeah couldn’t agree more, only team that could be worse than Tech in the Big 12",0,Twitter for iPhone,
Marshall Kosloff,3354067385,"Austin, TX",2023-01-22 00:09:32,"@grantadever I’m seeing this take on tech adjacent twitter, and I don’t get it?

A) A ton of big things occurred du… https://t.co/nbDikJeTGE",0,Twitter for iPhone,
Patrice Baker,1543688181396242432,"georgetown, tx",2023-01-21 23:24:20,"@gatewaypundit @elonmusk I'm so sorry that you and your brother suffered from the jab. We need to prosecute Fauci,… https://t.co/SZxoIb6Uek",0,Twitter for Android,
Dan Isett 🌵 🏴‍☠️,20247181,"Austin, TX / Washington, DC",2023-01-21 21:30:20,How bad does it have to get for 0-7 in the Big 12 Texas Tech for Adams to be out? #WreckEm,0,Twitter for Android,
Steven Wartofsky,1556786559206178822,"Cedar Park, TX",2023-01-21 21:21:11,"@ewarren What is happening now is, tech is using big layoffs to get rid of their over-30 staff, like they always do… https://t.co/MWkIGnJhtL",0,Twitter for iPhone,
Hookem.com,15165715,"Austin, Tx",2023-01-21 21:18:02,No. 25 Texas looks to rebound from upset loss at Texas Tech against now-unranked Baylor https://t.co/3oX262f8m9,1,SocialNewsDesk,
Dave Cook,1465523718143283202,Austin Texas,2023-01-21 20:29:17,"@ScottAdamsSays Second note:  Want to up your conspiracy?  I think you are fine and were not hurt by the shot.

Rea… https://t.co/MeGRCxEzKy",1,Twitter Web App,
Ron,1591508661385453568,"Austin, TX",2023-01-21 20:15:09,@liberty_lyss Please use https://t.co/Ps923uorId and use less Big Tech.,0,Twitter Web App,
FUTO,1518632513580810241,"Austin, TX",2023-01-21 18:37:05,Big if true. https://t.co/7IhKGlfJsJ,1,Twitter Web App,
ardon,2478794796,"Austin, TX",2023-01-21 16:42:47,"Shots fired.

I know a good amount of farmer-types-tech-expats more satisfied w/ life.

The hard work is a big part… https://t.co/DHdkD8Yq9c",0,Twitter Web App,
Patrick W. Watson,11104872,"Dripping Springs, Texas",2023-01-21 14:35:11,"It’s not just tech, it’s all big companies. Businesses get more callous with size because there’s more distance bet… https://t.co/8DlF60IyKS",16,Twitter for iPhone,
AustinBizJournal,24037404,"Austin, Texas ",2023-01-21 14:00:21,Money raised by Austin companies last week will help tech companies find remote employees in Latin America; underwr… https://t.co/9NtQ5rdC6D,0,True Anthem,
Rob Leathern,5449042,"Austin, TX",2023-01-21 13:04:47,"As for me, I’ll finally take that vacation ‘recharge’ I missed by splitting my 6 years in big tech across Facebook/… https://t.co/iSGn0E8Lua",0,Twitter for iPhone,
HHHHH,2715772722,Aus,2023-01-21 07:55:25,"@Timcast @scrowder crowder is boosting his platform at the expense of dw. 
personally i do think dw has restraint o… https://t.co/NAnwGRLaLf",0,Twitter Web App,
nic sosa,177252996,"Buda, TX",2023-01-21 05:31:59,"@elonsgrandson @foerglikecyborg @TheQuartering @realDailyWire as candace said on timcast, crowder indirectly called… https://t.co/UCO9LGGNFo",0,Twitter Web App,
Emma Beverage #NoMore #AbolishPolice #LandBack,143904132,"Austin, TX",2023-01-21 05:23:59,"SCOTUS Looking For ROE Leaker, US Debt Ceiling Crisis, Big Tech Layoffs ... https://t.co/MiAQwBTwbI via @YouTube",0,Twitter Web App,
Paco,4036077013,"Austin, TX",2023-01-21 04:45:51,@walkerjian @jcj Bro I doubt anyone at big tech have stock in the company they work for,0,Twitter for iPhone,
Prospector,1519844012978765824,Aus,2023-01-21 03:33:28,"@DoctorJustice1 I don't know if they are controlled opposition. 🤷

But they are all in a parasitic relationship wit… https://t.co/gll8rRgQON",0,Twitter Web App,
Colin Pear,302811479,"Austin, TX",2023-01-21 03:12:15,"@manekinekko Oh boy. Good to know. For a minute there, I was certain that all the big tech layoffs were happening b… https://t.co/miIaGLPGyT",0,Twitter for Android,
matty.,1482769455218413574,"Austin, TX",2023-01-21 02:25:52,"Outside of Tech, Kansas State and West Virginia are probably my favorite fan bases in the Big 12.  Damn shame they’… https://t.co/p9j3CxfSaa",0,Twitter for iPhone,
Cheetoh Fingers,53183278,Austin,2023-01-21 02:18:49,"@IanColdwater A lot of smaller, but growing tech companies who need to scale efficiently could really use folks fro… https://t.co/p2DAq9ImWM",0,Twitter for iPhone,
Jon Kozak,1023202661447950337,"Austin, TX",2023-01-21 02:00:35,"Big win for Andy Smith over Isaac Trumble - that locks up the dual for Virginia Tech!

Incredible dual",0,Twitter Web App,
